Mic_Zone_ID,TAZ_ID,attr,,,,,,,,
577,21027000,0,,,,,,,,
578,21007000,0,,,,,,,,
579,21015000,0,,,,,,,,
580,20646000,0,,,,,,,,
581,21016000,0,,,,,,,,
582,20646000,0,,,,,,,,
583,21027000,0,,,,,,,,
584,21015000,0,,,,,,,,
585,21022000,0,,,,,,,,
586,21017000,0,,,,,,,,
587,21017000,0,,,,,,,,
588,21021000,0,,,,,,,,
589,21019000,0,,,,,,,,
590,21019000,0,,,,,,,,
591,21231000,0,,,,,,,,
592,21000000,0,,,,,,,,
593,21000000,0,,,,,,,,
594,21005000,0,,,,,,,,
595,21005000,0,,,,,,,,
596,21007000,0,,,,,,,,
597,21009000,0,,,,,,,,
598,21018000,0,,,,,,,,
599,21044000,0,,,,,,,,
600,20646000,0,,,,,,,,
601,21024000,0,,,,,,,,
602,21017000,0,,,,,,,,
603,21023000,0,,,,,,,,
604,21032000,0,,,,,,,,
605,21019000,0,,,,,,,,
606,21013000,0,,,,,,,,
607,21020000,0,,,,,,,,
608,21026000,0,,,,,,,,
609,21020000,0,,,,,,,,
610,21035000,0,,,,,,,,
611,21037000,0,,,,,,,,
612,21030000,0,,,,,,,,
613,21033000,0,,,,,,,,
614,21021000,0,,,,,,,,
615,20647000,0,,,,,,,,
616,21042000,0,,,,,,,,
617,21233000,0,,,,,,,,
618,21050000,0,,,,,,,,
619,21057000,0,,,,,,,,
620,21047000,0,,,,,,,,
621,21055000,0,,,,,,,,
622,21054000,0,,,,,,,,
623,21059000,0,,,,,,,,
624,21050000,0,,,,,,,,
625,21054000,0,,,,,,,,
626,21042000,0,,,,,,,,
627,21059000,0,,,,,,,,
628,21053000,0,,,,,,,,
629,21053000,0,,,,,,,,
630,21060000,0,,,,,,,,
631,21054000,0,,,,,,,,
632,21060000,0,,,,,,,,
633,21053000,0,,,,,,,,
634,21242000,0,,,,,,,,
635,21242000,0,,,,,,,,
636,21038000,0,,,,,,,,
637,21044000,0,,,,,,,,
638,21040000,0,,,,,,,,
639,21044000,0,,,,,,,,
640,21074000,0,,,,,,,,
641,21071000,0,,,,,,,,
642,21068000,0,,,,,,,,
643,21041000,0,,,,,,,,
644,21041000,0,,,,,,,,
645,21014000,0,,,,,,,,
646,21014000,0,,,,,,,,
647,21041000,0,,,,,,,,
648,21052000,0,,,,,,,,
649,21049000,0,,,,,,,,
650,21062000,0,,,,,,,,
651,21065000,0,,,,,,,,
652,21056000,0,,,,,,,,
653,21050000,0,,,,,,,,
654,21063000,0,,,,,,,,
655,21055000,0,,,,,,,,
656,21058000,0,,,,,,,,
657,21067000,0,,,,,,,,
658,21959000,0,,,,,,,,
659,21057000,0,,,,,,,,
660,21056000,0,,,,,,,,
661,21063000,0,,,,,,,,
662,21241000,0,,,,,,,,
663,21057000,0,,,,,,,,
664,21042000,0,,,,,,,,
665,21056000,0,,,,,,,,
666,21062000,0,,,,,,,,
667,21058000,0,,,,,,,,
668,21067000,0,,,,,,,,
669,21059000,0,,,,,,,,
670,21074000,0,,,,,,,,
671,21233000,0,,,,,,,,
672,21087000,0,,,,,,,,
673,21088000,0,,,,,,,,
674,21070000,0,,,,,,,,
675,21092000,0,,,,,,,,
676,21957000,0,,,,,,,,
677,21090000,0,,,,,,,,
678,21074000,0,,,,,,,,
679,21075000,0,,,,,,,,
680,21102000,0,,,,,,,,
681,21959000,0,,,,,,,,
682,21089000,0,,,,,,,,
683,21097000,0,,,,,,,,
684,21090000,0,,,,,,,,
685,21100000,0,,,,,,,,
686,21962000,0,,,,,,,,
687,21075000,0,,,,,,,,
688,21957000,0,,,,,,,,
689,21087000,0,,,,,,,,
690,21092000,0,,,,,,,,
691,21102000,0,,,,,,,,
692,21090000,0,,,,,,,,
693,21086000,0,,,,,,,,
694,21085000,0,,,,,,,,
695,21100000,0,,,,,,,,
696,21957000,0,,,,,,,,
697,21084000,0,,,,,,,,
698,21074000,0,,,,,,,,
699,21073000,0,,,,,,,,
700,21081000,0,,,,,,,,
701,21072000,0,,,,,,,,
702,21081000,0,,,,,,,,
703,21098000,0,,,,,,,,
704,21069000,0,,,,,,,,
705,21079000,0,,,,,,,,
706,21097000,0,,,,,,,,
707,21100000,0,,,,,,,,
708,21100000,0,,,,,,,,
709,21093000,0,,,,,,,,
710,21962000,0,,,,,,,,
711,21103000,0,,,,,,,,
712,21103000,0,,,,,,,,
713,21092000,0,,,,,,,,
714,21090000,0,,,,,,,,
715,21090000,0,,,,,,,,
716,21090000,0,,,,,,,,
717,21966000,0,,,,,,,,
718,21966000,0,,,,,,,,
719,21962000,0,,,,,,,,
720,21071000,0,,,,,,,,
721,21957000,0,,,,,,,,
722,21074000,0,,,,,,,,
723,21102000,0,,,,,,,,
724,21964000,0,,,,,,,,
725,21087000,0,,,,,,,,
726,21960000,0,,,,,,,,
727,21907000,0,,,,,,,,
728,21105000,0,,,,,,,,
729,21248000,0,,,,,,,,
730,21248000,0,,,,,,,,
731,21248000,0,,,,,,,,
732,21248000,0,,,,,,,,
733,21074000,0,,,,,,,,
734,21905000,0,,,,,,,,
735,21076000,0,,,,,,,,
736,21914000,0,,,,,,,,
737,21912000,0,,,,,,,,
738,21913000,0,,,,,,,,
739,21109000,0,,,,,,,,
740,21964000,0,,,,,,,,
741,21911000,0,,,,,,,,
742,21911000,0,,,,,,,,
743,21913000,0,,,,,,,,
744,21490000,0,,,,,,,,
745,21910000,0,,,,,,,,
746,21965000,0,,,,,,,,
747,21961000,0,,,,,,,,
748,21109000,0,,,,,,,,
749,21918000,0,,,,,,,,
750,21965000,0,,,,,,,,
751,21109000,0,,,,,,,,
752,21921000,0,,,,,,,,
753,21966000,0,,,,,,,,
754,21918000,0,,,,,,,,
755,21109000,0,,,,,,,,
756,21109000,0,,,,,,,,
757,21917000,0,,,,,,,,
758,21967000,0,,,,,,,,
759,21971000,0,,,,,,,,
760,21924000,0,,,,,,,,
761,21109000,0,,,,,,,,
762,21916000,0,,,,,,,,
763,21917000,0,,,,,,,,
764,21492000,0,,,,,,,,
765,21492000,0,,,,,,,,
766,21966000,0,,,,,,,,
767,21918000,0,,,,,,,,
768,21967000,0,,,,,,,,
769,21924000,0,,,,,,,,
770,21966000,0,,,,,,,,
771,21921000,0,,,,,,,,
772,21967000,0,,,,,,,,
773,21968000,0,,,,,,,,
774,21967000,0,,,,,,,,
775,21109000,0,,,,,,,,
776,21968000,0,,,,,,,,
777,21491000,0,,,,,,,,
778,21967000,0,,,,,,,,
779,21927000,0,,,,,,,,
780,21927000,0,,,,,,,,
781,21924000,0,,,,,,,,
782,21927000,0,,,,,,,,
783,21923000,0,,,,,,,,
784,21929000,0,,,,,,,,
785,21504000,0,,,,,,,,
786,21490000,0,,,,,,,,
787,21972000,0,,,,,,,,
788,21969000,0,,,,,,,,
789,21968000,0,,,,,,,,
790,21975000,0,,,,,,,,
791,21929000,0,,,,,,,,
792,21974000,0,,,,,,,,
793,21934000,0,,,,,,,,
794,21506000,0,,,,,,,,
795,21505000,0,,,,,,,,
796,21505000,0,,,,,,,,
797,21501000,0,,,,,,,,
798,21508000,0,,,,,,,,
799,21492000,0,,,,,,,,
800,21507000,0,,,,,,,,
801,21499000,0,,,,,,,,
802,21510000,0,,,,,,,,
803,21974000,0,,,,,,,,
804,21924000,0,,,,,,,,
805,21969000,0,,,,,,,,
806,21981000,0,,,,,,,,
807,21969000,0,,,,,,,,
808,21971000,0,,,,,,,,
809,21929000,0,,,,,,,,
810,21930000,0,,,,,,,,
811,21933000,0,,,,,,,,
812,21981000,0,,,,,,,,
813,21924000,0,,,,,,,,
814,21504000,0,,,,,,,,
815,21974000,0,,,,,,,,
816,21934000,0,,,,,,,,
817,21977000,0,,,,,,,,
818,21512000,0,,,,,,,,
819,21974000,0,,,,,,,,
820,21934000,0,,,,,,,,
821,21976000,0,,,,,,,,
822,21937000,0,,,,,,,,
823,21924000,0,,,,,,,,
824,21940000,0,,,,,,,,
825,21517000,0,,,,,,,,
826,21518000,0,,,,,,,,
827,21929000,0,,,,,,,,
828,21934000,0,,,,,,,,
829,21978000,0,,,,,,,,
830,21937000,0,,,,,,,,
831,21932000,0,,,,,,,,
832,21978000,0,,,,,,,,
833,21936000,0,,,,,,,,
834,21976000,0,,,,,,,,
835,21934000,0,,,,,,,,
836,21939000,0,,,,,,,,
837,21940000,0,,,,,,,,
838,21978000,0,,,,,,,,
839,21929000,0,,,,,,,,
840,21520000,0,,,,,,,,
841,21940000,0,,,,,,,,
842,21975000,0,,,,,,,,
843,21976000,0,,,,,,,,
844,21936000,0,,,,,,,,
845,21512000,0,,,,,,,,
846,21517000,0,,,,,,,,
847,21525000,0,,,,,,,,
848,21525000,0,,,,,,,,
849,21524000,0,,,,,,,,
850,21527000,0,,,,,,,,
851,21977000,0,,,,,,,,
852,21941000,0,,,,,,,,
853,21940000,0,,,,,,,,
854,21944000,0,,,,,,,,
855,21512000,0,,,,,,,,
856,21991000,0,,,,,,,,
857,21509000,0,,,,,,,,
858,21944000,0,,,,,,,,
859,21993000,0,,,,,,,,
860,21519000,0,,,,,,,,
861,21939000,0,,,,,,,,
862,21993000,0,,,,,,,,
863,21982000,0,,,,,,,,
